question_id,stream,question,option_a,option_b,option_c,option_d,correct_answer,difficulty,explanation
1,Computer Science,Which programming language is known for its use in web development?,Python,JavaScript,C++,Java,b,Beginner,JavaScript is primarily used for web development
2,Computer Science,What does CPU stand for?,Central Processing Unit,Computer Personal Unit,Central Program Unit,Computer Processing Unit,a,Beginner,CPU stands for Central Processing Unit
3,Computer Science,Which data structure follows LIFO principle?,Queue,Stack,Array,Linked List,b,Intermediate,Stack follows Last In First Out (LIFO) principle
4,Computer Science,What is the time complexity of binary search?,O(n),O(log n),O(n²),O(1),b,Intermediate,Binary search has O(log n) time complexity
5,Computer Science,Which protocol is used for secure web browsing?,HTTP,FTP,HTTPS,SMTP,c,Intermediate,HTTPS is used for secure web browsing
6,Data Science,What is the primary purpose of machine learning?,Data storage,Pattern recognition,Data visualization,Database management,b,Intermediate,Machine learning is used for pattern recognition
7,Data Science,Which Python library is commonly used for data manipulation?,NumPy,Pandas,Matplotlib,Scikit-learn,b,Intermediate,Pandas is primarily used for data manipulation
8,Data Science,What does SQL stand for?,Structured Query Language,Simple Query Language,Standard Query Language,System Query Language,a,Beginner,SQL stands for Structured Query Language
9,Data Science,Which algorithm is used for classification?,Linear Regression,K-Means,Decision Tree,Principal Component Analysis,c,Intermediate,Decision Tree is used for classification
10,Data Science,What is overfitting in machine learning?,Model performs well on training data but poorly on test data,Model performs poorly on all data,Model cannot be trained,Model is too simple,a,Advanced,Overfitting occurs when model memorizes training data
11,Mathematics,What is the derivative of x²?,x,2x,2x²,x²,b,Intermediate,The derivative of x² is 2x
12,Mathematics,What is the value of π (pi) approximately?,2.14,3.14,4.14,5.14,b,Beginner,π is approximately 3.14159
13,Mathematics,What is the integral of 2x?,x²,2x²,x² + C,2x² + C,c,Intermediate,The integral of 2x is x² + C
14,Mathematics,What is the solution to x² - 4 = 0?,x = 2,x = ±2,x = 4,x = ±4,b,Intermediate,x² - 4 = 0 gives x = ±2
15,Mathematics,What is the formula for the area of a circle?,πr,2πr,πr²,2πr²,c,Beginner,Area of circle is πr²
16,Physics,What is the unit of force?,Joule,Newton,Watt,Pascal,b,Beginner,Newton is the unit of force
17,Physics,What is Einstein's famous equation?,E=mc,E=mc²,E=m²c,E=m²c²,b,Intermediate,Einstein's equation is E=mc²
18,Physics,What is the acceleration due to gravity on Earth?,9.8 m/s,9.8 m/s²,8.9 m/s²,10 m/s²,b,Beginner,Gravity acceleration is 9.8 m/s²
19,Physics,What is the first law of thermodynamics?,Energy cannot be created or destroyed,Entropy always increases,Heat flows from hot to cold,Force equals mass times acceleration,a,Intermediate,First law states energy conservation
